Kategori,Keyword,Periode_Scrape,Sumber,Tanggal_Tayang,Judul,Link
Political,Badan Gizi Nasional,January 2025,Portal Informasi Indonesia,19 Jan 2025,Yuk Jadi Mitra Makan Bergizi Gratis,https://indonesia.go.id/kategori/kependudukan/8906/yuk-jadi-mitra-makan-bergizi-gratis?lang=1
Political,Badan Gizi Nasional,January 2025,Media Center Habaring Hurung,16 Jan 2025,Badan Gizi Nasional Jadwalkan Ulang Makan Gizi Gratis di Kotim,https://mediacenter.kotimkab.go.id/badan-gizi-nasional-jadwalkan-ulang-makan-gizi-gratis-di-kotim/
Political,Badan Gizi Nasional,January 2025,Voice of America Indonesia,19 Jan 2025,Badan Gizi Nasional Usul Tambahan Anggaran Rp100 Triliun untuk Program Makan Gratis,https://www.voaindonesia.com/a/badan-gizi-nasional-usul-tambahan-anggaran-rp100-triliun-untuk-program-makan-gratis/7942329.html
Political,Badan Gizi Nasional,January 2025,Pemprov Kepri,10 Jan 2025,Gubernur Ansar Ahmad Pimpin Rapat Pelaksanaan Program Makanan Bergizi Gratis (MBG),https://kepriprov.go.id/berita/gubernur/gubernur-ansar-ahmad-pimpin-rapat-pelaksanaan-program-makanan-bergizi-gratis-mbg
Political,Badan Gizi Nasional,January 2025,Pemerintah Provinsi Lampung,13 Jan 2025,"Pj. Sekdaprov Fredi SM Pimpin Rakor Pelaksanaan Program Makan Bergizi Gratis di Provinsi Lampung, yang Dihadiri Langsung oleh Satuan Pelayanan Pemenuhan Gizi dari Badan Gizi Nasional",https://biroadpim.lampungprov.go.id/detail-post/pj-sekdaprov-fredi-sm-pimpin-rakor-pelaksanaan-program-makan-bergizi-gratis-di-provinsi-lampung-yang-dihadiri-langsung-oleh-satuan-pelayanan-pemenuhan-gizi-dari-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,Pekanbaru.go.id,13 Jan 2025,DKP Pekanbaru Pastikan Keamanan Pangan di Dapur BGN Sidomulyo Barat,https://www.pekanbaru.go.id/p/news/dkp-pekanbaru-pastikan-keamanan-pangan-di-dapur-bgn-sidomulyo-barat
Political,Badan Gizi Nasional,January 2025,Pemerintah Kabupaten Kuantan Singingi,10 Jan 2025,"Buka Rakor Makan Bergizi Gratis, Bupati Kuansing Diwakili Pj Sekda Siap Sikapi Program Prioritas Presiden RI",https://kuansing.go.id/id/blog/buka-rakor-makan-bergizi-gratis-bupati-kuansing-diwakili-pj-sekda-siap-sikapi-program-prioritas-presiden-ri.html
Political,Badan Gizi Nasional,January 2025,Humas Provinsi Jawa Tengah,8 Jan 2025,"Tinjau Program Makan Bergizi Gratis Hari Ketiga, Pj Gubernur Ungkap Antusiasme para Siswa",https://humas.jatengprov.go.id/detail_berita_gubernur?id=9337
Political,Badan Gizi Nasional,January 2025,Kantor Staf Presiden,7 Jan 2025,Wakil Kepala Staf Kepresidenan M. Qodari Kick Off Program Makan Bergizi Gratis,https://www.ksp.go.id/wakil-kepala-staf-kepresidenan-m-qodari-kick-off-program-makan-bergizi-gratis.html
Political,Badan Gizi Nasional,January 2025,Badan Pengawas Obat dan Makanan,24 Jan 2025,"Sinergi BPOM dan BGN Wujudkan Generasi Sehat, Cerdas, dan Berkualitas Menuju Indonesia Emas",https://www.pom.go.id/berita/sinergi-bpom-dan-bgn-wujudkan-generasi-sehat-cerdas-dan-berkualitas-menuju-indonesia-emas
Political,Badan Gizi Nasional,January 2025,Tempo.co,23 Jan 2025,Kepala Badan Gizi Nasional Curhat Kurang Tidur karena Urus Makan Bergizi Gratis,https://www.tempo.co/ekonomi/kepala-badan-gizi-nasional-curhat-kurang-tidur-karena-urus-makan-bergizi-gratis-1198142
Political,Badan Gizi Nasional,January 2025,NU Online,18 Jan 2025,"Badan Gizi Butuh Tambahan 100 Triliun untuk 82,9 Juta Penerima MBG",https://nu.or.id/nasional/badan-gizi-butuh-tambahan-100-triliun-untuk-82-9-juta-penerima-mbg-BcJJ0
Political,Badan Gizi Nasional,January 2025,Kementerian Komunikasi dan Digital,25 Jan 2025,Kementerian Komunikasi dan Digital,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-untuk-rekrutmen-sppi-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,fakultas hukum umsu,11 Jan 2025,"Rekrutmen CPNS Badan Gizi Nasional, Simak Syaratnya",https://fahum.umsu.ac.id/blog/rekrutmen-cpns-badan-gizi-nasional-simak-syaratnya/
Political,Badan Gizi Nasional,January 2025,Pemerintah Kota Tanjungpinang,6 Jan 2025,"Perdana, Siswa SMPN 4 Tanjungpinang Antusias Nikmati Makan Bergizi Gratis",https://www.tanjungpinangkota.go.id/berita/perdana-siswa-smpn-4-tanjungpinang-antusias-nikmati-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Pemerintah Kota Palangka Raya,13 Jan 2025,Pemko Usulkan 13 SPPG Untuk Program Makan Bergizi Gratis,https://palangkaraya.go.id/pemko-usulkan-13-sppg-untuk-program-makan-bergizi-gratis/
Political,Badan Gizi Nasional,January 2025,CNBC Indonesia,17 Jan 2025,"2 Pekan MBG Berjalan, Prabowo Panggil Bos Badan Gizi Nasional",https://www.cnbcindonesia.com/news/20250117143202-4-604022/2-pekan-mbg-berjalan-prabowo-panggil-bos-badan-gizi-nasional
Political,Badan Gizi Nasional,January 2025,Tribratanews Polda Bali,17 Jan 2025,"Tribratanews Polda Bali - *Kunjungan Kerja Direktur Badan Gizi Nasional (BGN) Bidang Pemantauan dan Pengawasan Wilayah III (Tiga), Kolonel Armed. Rudi Setiawan beserta Rombongan di Lokasi Dapur Sehat Kodim 1619/Tabanan.*",https://tribratanews.bali.polri.go.id/artikel/view/pb-549489-kunjungan-kerja-direktur-badan-gizi
Political,Badan Gizi Nasional,January 2025,RRI.co.id,15 Jan 2025,Badan Gizi Nasional Targetkan Bentuk 5.000 SPPG di Tahun 2025,https://rri.co.id/daerah/1256976/badan-gizi-nasional-targetkan-bentuk-5-000-sppg-di-tahun-2025
Political,Badan Gizi Nasional,January 2025,mpr.go.id,17 Jan 2025,"Tolak Zakat Untuk Danai Makan Bergizi Gratis, HNW: Jangan Campuradukkan, Sudah ada Peruntukannya Masing-Masing","https://mpr.go.id/berita/Tolak-Zakat-Untuk-Danai-Makan-Bergizi-Gratis,-HNW:-Jangan-Campuradukkan,-Sudah-ada-Peruntukannya-Masing-Masing"
Political,Badan Gizi Nasional,January 2025,Kompas.com,25 Jan 2025,"Bantah Minta Rp 100 Triliun untuk MBG, Kepala Badan Gizi: Presiden yang Tanya",http://nasional.kompas.com/read/2025/01/25/17283171/bantah-minta-rp-100-triliun-untuk-mbg-kepala-badan-gizi-presiden-yang-tanya
Political,Badan Gizi Nasional,January 2025,RRI.co.id,8 Jan 2025,Mengenal Badan Gizi Nasional Sebagai Penanggung Jawab MBG,https://rri.co.id/banda-aceh/olahraga/1242283/mengenal-badan-gizi-nasional-sebagai-penanggung-jawab-mbg
Political,Badan Gizi Nasional,January 2025,MetroTVNews.com,28 Jan 2025,Badan Gizi Nasional Bantah akan Memasukkan Menu Belalang dan Ulat Sagu,https://www.metrotvnews.com/read/NA0CEYRQ-badan-gizi-nasional-bantah-akan-memasukkan-menu-belalang-dan-ulat-sagu
Political,Badan Gizi Nasional,January 2025,Kompas.com,20 Jan 2025,Badan Gizi Nasional Targetkan 5 Juta Santri Terima Makan Bergizi Gratis,http://nasional.kompas.com/read/2025/01/20/17143351/badan-gizi-nasional-targetkan-5-juta-santri-terima-makan-bergizi-gratis
Political,Badan Gizi Nasional,January 2025,Tempo.co,16 Jan 2025,"Pemilik Kantin Sekolah Mengeluh Kena Imbas Program Makan Bergizi Gratis, Ini Respons Kepala Badan Gizi Nasional",https://www.tempo.co/ekonomi/pemilik-kantin-sekolah-mengeluh-kena-imbas-program-makan-bergizi-gratis-ini-respons-kepala-badan-gizi-nasional-1195071
Political,Badan Gizi Nasional,January 2025,Tempo.co,20 Jan 2025,Badan Gizi Nasional Akan Survei Menu Favorit Siswa untuk Evaluasi Makan Bergizi Gratis,https://www.tempo.co/politik/badan-gizi-nasional-akan-survei-menu-favorit-siswa-untuk-evaluasi-makan-bergizi-gratis-1196370
Political,Badan Gizi Nasional,January 2025,BPKP,20 Jan 2025,Badan Pengawasan Keuangan dan Pembangunan,https://bpkp.go.id/id/berita/DNQO/presiden-prabowo-dorong-percepatan-program-makan-bergizi-gratis-di-indonesia
Political,Badan Gizi Nasional,January 2025,RRI.co.id,31 Jan 2025,Badan Gizi Nasional Tinjau Program MBG,https://rri.co.id/makan-bergizi-gratis/1293723/badan-gizi-nasional-tinjau-program-mbg
Political,Badan Gizi Nasional,January 2025,Tempo.co,18 Jan 2025,Alasan Badan Gizi Nasional Belum Teken MoU dengan BPOM untuk Program Makan Bergizi Gratis,https://www.tempo.co/politik/alasan-badan-gizi-nasional-belum-teken-mou-dengan-bpom-untuk-program-makan-bergizi-gratis-1195765
Political,Badan Gizi Nasional,January 2025,RRI.co.id,8 Jan 2025,Badan Gizi Nasional Luncurkan SPPG ke Sekolah,https://rri.co.id/makan-bergizi-gratis/1240848/badan-gizi-nasional-luncurkan-sppg-ke-sekolah
Political,Badan Gizi Nasional,January 2025,CNBC Indonesia,7 Jan 2025,Video: Buka-Bukaan Bos Badan Gizi Nasional Soal Target Program MBG,https://www.cnbcindonesia.com/news/20250107100133-8-601255/video-buka-bukaan-bos-badan-gizi-nasional-soal-target-program-mbg
